date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:40:38	89/89	---M-Z	200	added ('OK')	text/html	etag:%223f4ac8-59-514dbea4f1d40%22	http://www.bizvelocity.biz/	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/index.html	(from )
23:40:39	7901/7901	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202020%2016:40:37%20GMT	http://www.bizvelocity.biz/robots.txt		(from )
23:40:41	0/0	---M-Z	302	error ('Found')	text/html	date:Wed,%2029%20Jan%202020%2016:40:39%20GMT	http://www.bizvelocity.biz/wordpress/	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/index.html	(from http://www.bizvelocity.biz/)
23:40:42	49959/49959	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202020%2016:40:41%20GMT	http://www.bizvelocity.biz/wordpress/home-en/	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/home-en/index.html	(from http://www.bizvelocity.biz/wordpress/)
23:40:44	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2029%20Jan%202020%2016:40:42%20GMT	http://www.bizvelocity.biz/wordpress/xmlrpc.php	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/xmlrpc.0.delayed	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:44	25242/25242	---M--	200	added ('OK')	text/css	etag:%22629a-582e28f8aa080%22	http://www.bizvelocity.biz/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.1	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-includes/css/dist/block-library/style.minc721.css	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:46	14651/14651	---M--	200	added ('OK')	text/css	etag:%22393b-4e66539769240%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/css/layerslider.css?ver=4.6.1	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/css/layerslider1c9b.css	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Jan%202020%2016:40:46%20GMT	http://s.w.org/	/home/drsarutobi/websites/www.bizvelocity.biz/s.w.org/index.html	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:46	345/345	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202020%2016:40:46%20GMT	http://p.jwpcdn.com/	/home/drsarutobi/websites/www.bizvelocity.biz/p.jwpcdn.com/index.html	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:47	29830/29830	---M--	200	added ('OK')	text/css	etag:%227486-5730782719380%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/bbpress/templates/default/css/bbpress.css?ver=2.5.14-6684	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/bbpress/templates/default/css/bbpress01c4.css	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:49	5503/5503	---M--	200	added ('OK')	application/rss+xml	etag:%22cc453c6e173e95657724e1d7380cecf1%22	http://www.bizvelocity.biz/wordpress/en/feed/	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/en/feed/index.html	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:49	3685/3685	---M--	200	added ('OK')	text/css	etag:%22e65-4e7118359bfc0%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/wp-modal-login/css/wp-modal-login.css?ver=2.0.6	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/wp-modal-login/css/wp-modal-login1717.css	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:49	2582/2582	---M--	200	added ('OK')	text/css	etag:%22a16-4e7118359bfc0%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/wp-modal-login/css/default.css?ver=2.0.6	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/wp-modal-login/css/default1717.css	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:49	923/923	---M--	200	added ('OK')	application/rss+xml	etag:%2231d5fee4098f36e1e673983acb31c794%22	http://www.bizvelocity.biz/wordpress/home-en/feed/	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/home-en/feed/index.html	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:49	944/944	---M--	200	added ('OK')	application/rss+xml	etag:%2231d5fee4098f36e1e673983acb31c794%22	http://www.bizvelocity.biz/wordpress/en/comments/feed/	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/en/comments/feed/index.html	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:50	5871/5871	---M--	200	added ('OK')	text/css	etag:%2216ef-582e2a52d9140%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/tablepress/css/default.min.css?ver=1.9.2	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/tablepress/css/default.min2c00.css	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:51	10231/10231	---M--	200	added ('OK')	application/x-javascript	etag:%2227f7-4e9a528e7d400%22	http://www.bizvelocity.biz/wordpress/wp-includes/js/swfobject.js?ver=2.2-20120417	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-includes/js/swfobjecteb77.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:54	97183/97183	---M--	200	added ('OK')	application/x-javascript	etag:%2217b9f-582e28fa92500%22	http://www.bizvelocity.biz/wordpress/wp-includes/js/jquery/jquery.js?ver=1.12.4	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-includes/js/jquery/jqueryb8ff.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:55	10056/10056	---M--	200	added ('OK')	application/x-javascript	etag:%222748-57306818c3200%22	http://www.bizvelocity.biz/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:57	48722/48722	---M--	200	added ('OK')	application/x-javascript	etag:%22be52-4e66539769240%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/js/layerslider.kreaturamedia.jquery.js?ver=4.6.1	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/js/layerslider.kreaturamedia.jquery1c9b.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:57	8152/8152	---M--	200	added ('OK')	application/x-javascript	etag:%221fd8-4e66539769240%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/js/jquery-easing-1.3.js?ver=1.3.0	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/js/jquery-easing-1.36f3e.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:57	6830/6830	---M--	200	added ('OK')	application/x-javascript	etag:%221aae-4e66539769240%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/js/jquerytransit.js?ver=0.9.9	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/js/jquerytransite2dc.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:40:59	21024/21024	---M--	200	added ('OK')	application/x-javascript	etag:%225220-4e66539769240%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/js/layerslider.transitions.js?ver=4.6.1	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/LayerSlider/js/layerslider.transitions1c9b.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:41:01	12590/12590	---M--	200	added ('OK')	application/x-javascript	etag:%22312e-4e66e085dd200%22	http://www.bizvelocity.biz/wordpress/wp-content/uploads/wpcu3er/jquery.cu3er.js?ver=5.1	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/uploads/wpcu3er/jquery.cu3erc721.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:41:03	73341/73341	---M-Z	200	added ('OK')	application/javascript	etag:%2248b7ce23d0c9a767b72f2b5bfaf8c43d%22	http://p.jwpcdn.com/6/12/jwplayer.js?ver=5.1	/home/drsarutobi/websites/www.bizvelocity.biz/p.jwpcdn.com/6/12/jwplayerc721.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:41:07	2280/2280	---M--	200	added ('OK')	application/json	date:Wed,%2029%20Jan%202020%2016:41:01%20GMT	http://www.bizvelocity.biz/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.bizvelocity.biz%2Fwordpress%2Fhome-en%2F	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-json/oembed/1.0/embed2a53.json	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:41:09	2550/2550	---M--	200	added ('OK')	text/xml	date:Wed,%2029%20Jan%202020%2016:41:05%20GMT	http://www.bizvelocity.biz/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.bizvelocity.biz%2Fwordpress%2Fhome-en%2F&format=xml	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-json/oembed/1.0/embedc036	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:41:09	13822/13822	---M--	200	added ('OK')	text/css	etag:%2235fe-4e6a01fc4f540%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/cforms/styling/cforms2012.css	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/cforms/styling/cforms2012.css	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:41:09	74045/74045	---MC-	200	added ('OK')	application/json	date:Wed,%2029%20Jan%202020%2016:41:01%20GMT	http://www.bizvelocity.biz/wordpress/wp-json/	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-json/index.html	(from http://www.bizvelocity.biz/wordpress/home-en/)
23:41:09	17839/17839	---M--	200	added ('OK')	application/x-javascript	etag:%2245af-4e6ac80d44140%22	http://www.bizvelocity.biz/wordpress/wp-content/plugins/cforms/js/cforms.js	/home/drsarutobi/websites/www.bizvelocity.biz/www.bizvelocity.biz/wordpress/wp-content/plugins/cforms/js/cforms.js	(from http://www.bizvelocity.biz/wordpress/home-en/)
